occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,"Pica pica","Pica pica (Linnaeus, 1758)","5229490","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Corvidae","Pica","Pica pica","Pica pica","(Linnaeus, 1758) ","5229490",
,"Lynx lynx","Lynx lynx (Linnaeus, 1758)","2435240","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Carnivora","Felidae","Lynx","Lynx lynx","Lynx lynx","(Linnaeus, 1758) ","2435240",
,"Manta birostis","Manta birostris (Walbaum, 1792)","2419163","FUZZY","93","SYNONYM","SPECIES","Animalia","Chordata","Elasmobranchii","Myliobatiformes","Myliobatidae","Mobula","Mobula birostris","Manta birostris","(Walbaum, 1792) ","2419163","9548142"
,"Amphibia",,,"NONE","100",,,,,,,,,,,,,
,"Felis catus","Felis catus Linnaeus, 1758","2435035","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Carnivora","Felidae","Felis","Felis catus","Felis catus","Linnaeus, 1758","2435035",
,"Nudibranch",,,"NONE","100",,,,,,,,,,,,,
,"Spilotes pullatus","Spilotes pullatus (Linnaeus, 1758)","9195230","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Squamata",,"Colubridae","Spilotes","Spilotes pullatus","Spilotes pullatus","(Linnaeus, 1758) ","9195230",
,"bufo bufo","Bufo bufo (Linnaeus, 1758)","5217160","EXACT","98","ACCEPTED","SPECIES","Animalia","Chordata","Amphibia","Anura","Bufonidae","Bufo","Bufo bufo","Bufo bufo","(Linnaeus, 1758) ","5217160",
,"Trachelophorus giraffa","Trachelophorus giraffa Voss, 1929","1173257","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Attelabidae","Trachelophorus","Trachelophorus giraffa","Trachelophorus giraffa","Voss, 1929","1173257",
,"Aur�lia aurita",,,"NONE","100",,,,,,,,,,,,,
,"Aurelia aurita","Aurelia aurita (Linnaeus, 1758)","2264442","EXACT","99","ACCEPTED","SPECIES","Animalia","Cnidaria","Scyphozoa","Semaeostomeae","Ulmaridae","Aurelia","Aurelia aurita","Aurelia aurita","(Linnaeus, 1758) ","2264442",
,"Jorunna parva","Jorunna parva (Baba, 1938)","6519206","EXACT","99","ACCEPTED","SPECIES","Animalia","Mollusca","Gastropoda","Nudibranchia","Discodorididae","Jorunna","Jorunna parva","Jorunna parva","(Baba, 1938) ","6519206",
,"Tardigrada","Tardigrada","14","EXACT","94","ACCEPTED","PHYLUM","Animalia","Tardigrada",,,,,,"Tardigrada",,"14",
,"Pas",,,"NONE","100",,,,,,,,,,,,,
